frame,timestamp_sec,emotion,confidence
0,0.0,angry,52.46
15,0.5,neutral,99.98
30,1.01,neutral,92.69
45,1.51,neutral,47.96
60,2.02,surprise,84.35
75,2.52,surprise,42.24
90,3.03,surprise,37.75
105,3.53,neutral,99.64
120,4.04,neutral,86.12
135,4.54,neutral,58.48
150,5.05,neutral,99.05
165,5.55,surprise,69.18
180,6.06,neutral,69.84
195,6.56,angry,38.79
210,7.07,neutral,86.33
225,7.57,neutral,99.81
240,8.08,neutral,99.84
255,8.58,neutral,91.77
270,9.09,neutral,99.58
285,9.59,angry,30.64
300,10.1,sad,86.42
315,10.6,sad,79.97
330,11.11,surprise,99.6
345,11.61,sad,36.23
360,12.12,neutral,87.2
375,12.62,neutral,37.09
390,13.13,angry,80.08
405,13.63,neutral,48.91
420,14.14,neutral,99.57
435,14.64,neutral,89.66
450,15.15,angry,52.14
465,15.65,neutral,99.46
480,16.16,sad,52.96
495,16.66,neutral,99.99
510,17.17,sad,75.22
525,17.67,neutral,44.76
540,18.18,happy,99.2
555,18.68,angry,59.46
570,19.19,happy,25.48
585,19.69,happy,43.15
600,20.2,angry,66.54
615,20.7,sad,45.97
630,21.21,neutral,37.13
645,21.71,neutral,99.92
660,22.22,happy,93.82
675,22.72,happy,99.06
690,23.23,happy,89.18
705,23.73,happy,90.06
720,24.24,happy,65.43
735,24.74,happy,97.85
750,25.25,happy,97.76
765,25.75,sad,69.8
780,26.26,sad,74.24
795,26.76,sad,57.03
810,27.27,neutral,99.99
825,27.77,happy,76.4
840,28.28,neutral,85.8
855,28.78,sad,56.56
870,29.29,neutral,99.64
885,29.79,sad,55.44
900,30.3,angry,53.24
915,30.8,surprise,71.24
930,31.31,sad,41.36
945,31.81,neutral,76.46
960,32.32,sad,60.09
975,32.82,neutral,99.98
990,33.33,surprise,43.45
1005,33.83,sad,40.98
1020,34.34,neutral,43.95
